meta_epoch,task_model_epoch_1_support_loss,task_model_epoch_1_support_loss_d,task_model_epoch_1_support_loss_s,task_model_epoch_1_task_learning_rate,task_model_epoch_2_support_loss,task_model_epoch_2_support_loss_d,task_model_epoch_2_support_loss_s,task_model_epoch_2_task_learning_rate,task_model_epoch_3_support_loss,task_model_epoch_3_support_loss_d,task_model_epoch_3_support_loss_s,task_model_epoch_3_task_learning_rate,meta_model_validation_f1_score_percent,meta_model_validation_f1_score_percent_base,meta_model_validation_loss,meta_model_validation_loss_d,meta_model_validation_loss_s
10,1.9846906661987305,1.7877558469772339,0.19693481922149658,0.001,1.9383437633514404,1.7835890054702759,0.15475475788116455,0.00075,1.9195644855499268,1.7799831628799438,0.1395813673734665,0.0002500000000000001,4.38812374914021,4.725671729843302,1.7865052223205566,1.7840090990066528,0.002496117725968361
20,1.9161219596862793,1.7500190734863281,0.16610285639762878,0.001,1.883733868598938,1.7461704015731812,0.13756349682807922,0.00075,1.8639894723892212,1.742598533630371,0.12139090895652771,0.0002500000000000001,8.196269041902433,8.196269041902433,1.7485219240188599,1.7462612390518188,0.0022606404963880777
30,1.8653918504714966,1.7124334573745728,0.15295834839344025,0.001,1.8182873725891113,1.7083719968795776,0.1099153682589531,0.00075,1.7999497652053833,1.7047864198684692,0.09516337513923645,0.0002500000000000001,14.482516753056554,15.59655650329167,1.7106167078018188,1.7086856365203857,0.0019310687202960253
40,1.801832675933838,1.6743171215057373,0.1275155395269394,0.001,1.7666385173797607,1.6705224514007568,0.0961160659790039,0.00075,1.7462321519851685,1.6667512655258179,0.07948089390993118,0.0002500000000000001,19.919266083069715,19.919266083069715,1.672210454940796,1.6704620122909546,0.0017484183190390468
50,1.7441247701644897,1.635617971420288,0.10850678384304047,0.001,1.7103750705718994,1.6321712732315063,0.07820378243923187,0.00075,1.6922968626022339,1.6281952857971191,0.06410154700279236,0.0002500000000000001,32.6738097958649,32.6738097958649,1.6333286762237549,1.6317986249923706,0.0015300469240173697
60,1.712052822113037,1.5974067449569702,0.1146460473537445,0.001,1.670762300491333,1.593591332435608,0.07717099785804749,0.00075,1.6521257162094116,1.5900743007659912,0.06205146014690399,0.0002500000000000001,36.125289952519616,36.125289952519616,1.595015287399292,1.5935710668563843,0.0014442292740568519
70,1.6419463157653809,1.5596727132797241,0.08227364718914032,0.001,1.6089292764663696,1.5564647912979126,0.05246452987194061,0.00075,1.5937939882278442,1.552743673324585,0.04105030745267868,0.0002500000000000001,45.124088322277764,45.124088322277764,1.5572423934936523,1.5560182332992554,0.0012242074590176344
80,1.6099352836608887,1.5229172706604004,0.08701802045106888,0.001,1.5702571868896484,1.5193848609924316,0.0508723109960556,0.00075,1.5544942617416382,1.5160386562347412,0.03845562785863876,0.0002500000000000001,50.60829540044739,50.60829540044739,1.5204187631607056,1.5193336009979248,0.0010851221159100533
90,1.5502839088439941,1.4871842861175537,0.0630996823310852,0.001,1.5237079858779907,1.4839270114898682,0.039780937135219574,0.00075,1.511106014251709,1.4806147813796997,0.030491195619106293,0.0002500000000000001,48.578157536625234,48.578157536625234,1.48470139503479,1.4836194515228271,0.0010819568997249007
100,1.5203888416290283,1.4521173238754272,0.06827147305011749,0.001,1.485765814781189,1.448874592781067,0.036891236901283264,0.00075,1.4721617698669434,1.4455772638320923,0.02658456191420555,0.0002500000000000001,53.94765757431169,53.94765757431169,1.449483036994934,1.4485217332839966,0.0009612930589355528
